GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",1112794411,1106150782,1110613081,1144125077,1168891067,1199276889,1208564640,1190080854,1230672310,1277466777,1279527097,1328233509,1329376306,1353410409,1373642978,1403230531,1419112069,1458382411,1500833379,1432506990,1514779247
 "36000","New York",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",973127669,966981411,970451654,1001703379,1025953436,1057956396,1065016545,1045096561,1085351937,1130684279,1134419596,1184608409,1183128931,1209486200,1231534098,1261538357,1274944148,1305320339,1346923643,1283206147,1362760989
 "36000","New York",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",2786081,2559532,2578964,2777775,3192610,3298611,3062157,3309548,3154584,3519282,3174029,2863742,3207128,3568710,3286984,3536619,3757849,3526427,3997807,3655900,3244032
 "36000","New York",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",1160218,1087456,1153605,1192439,1078360,1213587,1250666,1299711,1236582,1112962,936782,946781,869385,933595,940097,1074481,1000608,1048795,1073157,1098759,1083193
 "36000","New York",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",16164775,16575689,16827285,18750633,17491606,17601761,17267413,17711684,16237774,18986096,19419932,19743572,19633295,19127165,18663858,19267427,20154513,20994758,21257450,23493473,22989153
 "36000","New York",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",42221367,41655848,41952271,41295280,39530302,38130982,39818264,40618715,38589913,36183183,34878727,35284197,36208709,36466498,38607503,40572482,41577534,41794252,41455255,36865555,37638659
 "36000","New York",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",65949809,68510725,68011219,71377210,72682608,77407474,77075289,73893820,71254131,72915705,66847387,64102265,64116328,65393836,67442398,65613665,65539091,64071140,68783635,62537623,65992261
 "36000","New York",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",25960932,26609739,26221727,27647862,29313842,29805372,31583349,32836442,28427181,31285697,32184301,33101234,34709950,34492951,34784600,33733659,33168428,33971430,33771066,30346083,32300961
 "36000","New York",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",40900129,43035083,43006459,44950081,44134629,48939617,46184182,41053407,43358044,41932104,34714568,31001031,29411134,30893821,32626152,31844095,32303947,30129807,34883357,32053637,33566978
 "36000","New York",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",56670936,57474584,61279737,64036259,64961871,66401563,68854475,66396522,59377287,64280711,63963553,65862304,65970216,67137881,71555281,68348614,67464511,67416308,65843274,62878791,66476957
 "36000","New York",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",52116297,55013010,58578788,61451808,62513674,62025639,60873143,59788324,58250722,60716257,62272190,62059368,64364132,65398749,66583745,68262556,70065574,71905642,74163106,65029793,67160377
 "36000","New York",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",22111622,21401647,22194038,23745451,24705546,26184237,26470784,26353729,25024044,25852684,26826363,26795204,27282987,27889595,28419789,27695712,29045469,30382673,30954163,24169404,26738829
 "36000","New York",2,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",59359406,67246366,66359740,69613472,70368116,69999346,77541666,81086605,86436004,94857243,97414326,100263669,105902333,109426107,120815677,130934097,133603880,154316732,162758492,166542194,183196030
 "36000","New York",2,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",351182225,324645187,316835158,324271205,337787736,356642354,347018938,315758337,381759247,397718649,395596938,435020416,419598467,428191242,419807432,432982083,426885151,421177223,435331185,443499989,456392697
 "36000","New York",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",200390212,171429124,158655096,162605795,181011408,199977268,181229942,138528787,217315554,219353267,212362691,248108621,231074696,238052883,236691749,247331705,238494216,230224412,241548370,254610227,263049509
 "36000","New York",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",147982925,150205481,155037702,158448753,153219783,152626004,162597511,175568632,165148010,178404166,183028594,186911795,188678978,190147410,182780894,184922716,188491189,192121679,194109560,187222337,191375222
 "36000","New York",2,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",145570862,146535150,147509239,147483023,154862952,157210932,163485086,169890851,152660728,159298329,164458855,168461927,170293897,177494301,185118636,187446629,195322275,202631186,212082244,200666939,219310753
 "36000","New York",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",92892831,93202096,91923386,92055652,97231256,100675025,106013816,114026652,101877520,101809358,107205218,110346129,111349324,117112630,122775015,126923103,129800583,132546764,136430227,133057048,146464825
 "36000","New York",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",28831416,30632011,29697264,26663879,26449302,26783071,26624174,25649115,22630258,26704117,26543282,26222570,26683683,27762913,28275651,26838332,28693359,29985224,31573862,30589720,34463288
 "36000","New York",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",24853237,24160172,26777348,28946546,31152222,29827600,30896953,30334357,28228412,30753457,30708011,31893228,32261943,32619786,34036643,33574565,36708494,39939783,43868130,37102721,38746701
 "36000","New York",2,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",94185006,95916955,100342467,104496144,105150696,108136770,108016134,113942815,117860361,119601034,120572423,121694151,122990331,125102396,129264073,133433686,136073343,141574626,146286338,139273452,145998374
 "36000","New York",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",20494403,20416613,21505793,22757263,22414142,22849843,23025884,24491431,26235133,26758255,26967956,27514293,27196948,27480720,29509485,30486908,30131860,30819113,31019920,28084596,29242092
